Country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Panama,42.58,44.255,45.93,45.215,44.5,46.89,49.28,47.85,50.24,49.76,50.24,48.8,50,51.66,51.66,55.87,49.3,47.89,54.33,53.37
Papua New Guinea,28.23,28.47,28.71,26.315,23.92,20.57,17.22,9.57,18.18,13.88,19.62,17.7,17.79,17.54,18.48,24.41,23,17.84,21.15,18.75
Peru,29.19,29.19,29.19,29.43,29.67,32.78,35.89,32.54,36.36,29.19,25.84,24.88,25,30.81,33.18,30.99,33.33,33.8,33.17,34.62
Philippines,50.72,51.435,52.15,45.215,38.28,38.28,38.28,36.36,34.45,42.11,43.06,39.23,36.06,34.12,33.65,36.15,37.09,42.25,43.27,42.31
Russia,23.44,21.05,18.66,16.03,13.4,18.66,23.92,20.1,19.14,20.57,20.1,18.18,20.19,25.59,26.07,26.76,23.94,24.88,26.44,26.44
Rwanda,2.39,3.585,4.78,6.22,7.66,14.115,20.57,22.49,23.44,19.62,28.71,34.93,37.98,37.44,45.97,46.48,47.42,51.17,61.06,60.1
Senegal,44.5,47.61,50.72,51.435,52.15,53.11,54.07,50.24,50.72,53.11,49.28,47.37,47.12,43.6,41.23,39.44,46.48,46.48,53.85,51.92
South Africa,50.24,53.11,55.98,55.5,55.02,54.785,54.55,53.59,56.46,54.55,59.33,55.02,54.81,56.87,57.82,58.69,58.22,58.22,63.94,59.13
Sri Lanka,56.94,55.025,53.11,55.025,56.94,58.855,60.77,60.29,59.33,56.94,57.42,57.42,54.33,53.55,53.55,53.05,52.58,46.95,51.92,59.62
Tunisia,45.93,46.41,46.89,47.13,47.37,49.045,50.72,49.76,58.37,55.98,57.89,58.37,57.69,60.66,59.72,51.17,51.17,48.83,52.88,56.25
Venezuela,22.97,22.97,22.97,23.205,23.44,17.94,12.44,8.61,10.53,10.05,6.22,2.87,1.92,2.37,1.42,1.41,0.94,0.94,0.48,0.48
Vietnam,37.32,38.275,39.23,40.43,41.63,37.8,33.97,38.76,37.8,45.93,41.63,42.58,40.87,39.81,34.6,38.97,38.97,39.91,44.71,46.15
